epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7229,1.27658,2.56261,1.38813,0.51861,0.2981,0.3743,0.23912,1.36185,2.47449,1.45871,0.000547614,0.000547614,0.000547614
2,104.652,1.24286,1.92563,1.38408,0.40479,0.37184,0.33226,0.18403,1.63535,2.59933,1.72488,0.00107597,0.00107597,0.00107597
3,150.137,1.27984,1.86392,1.41243,0.30226,0.31269,0.22455,0.08537,1.8205,4.72723,1.97471,0.00157683,0.00157683,0.00157683
4,196.159,1.27277,1.7957,1.39728,0.48135,0.42376,0.42389,0.29935,1.49623,3.11294,1.63926,0.00154323,0.00154323,0.00154323
5,234.837,1.23706,1.75214,1.37988,0.54177,0.43106,0.42514,0.2413,1.56633,2.7545,1.77849,0.00150197,0.00150197,0.00150197
6,278.201,1.19932,1.66982,1.34315,0.52323,0.36152,0.3988,0.26184,1.53368,2.58293,1.6741,0.00146071,0.00146071,0.00146071
7,321.867,1.18352,1.63001,1.33456,0.56383,0.48262,0.46918,0.32676,1.39796,2.08577,1.55799,0.00141945,0.00141945,0.00141945
8,371.131,1.17172,1.59797,1.32798,0.48287,0.39201,0.40381,0.28531,1.46011,2.25924,1.56417,0.00137819,0.00137819,0.00137819
9,393.388,1.14351,1.56003,1.3098,0.5879,0.44046,0.46993,0.34605,1.33465,2.02573,1.49908,0.00133693,0.00133693,0.00133693
10,410.992,1.1314,1.52629,1.30091,0.47776,0.46624,0.43631,0.3334,1.3467,2.18754,1.46577,0.00129568,0.00129568,0.00129568
11,429.053,1.11311,1.48476,1.27513,0.56301,0.46173,0.47093,0.36014,1.32422,2.00066,1.46815,0.00125442,0.00125442,0.00125442
12,447.411,1.08473,1.45108,1.27358,0.53941,0.50314,0.45262,0.30745,1.38872,2.10188,1.53767,0.00121316,0.00121316,0.00121316
13,465.057,1.07505,1.4156,1.25933,0.56256,0.45388,0.46645,0.37081,1.28637,1.94762,1.39116,0.0011719,0.0011719,0.0011719
14,483.03,1.0398,1.37636,1.23938,0.56445,0.4966,0.48375,0.37077,1.2275,1.95229,1.38964,0.00113064,0.00113064,0.00113064
15,501.705,1.03613,1.36063,1.24195,0.59891,0.49944,0.50325,0.37458,1.26937,1.9742,1.43576,0.00108938,0.00108938,0.00108938
16,519.523,1.04008,1.35986,1.23627,0.5539,0.47905,0.4566,0.36747,1.24261,2.01471,1.37842,0.00104813,0.00104813,0.00104813
17,537.904,1.01946,1.35223,1.21688,0.57868,0.50525,0.5003,0.38375,1.24246,1.85901,1.38704,0.00100687,0.00100687,0.00100687
18,555.771,0.99347,1.31379,1.21176,0.60806,0.49408,0.50433,0.38879,1.21722,1.89288,1.37988,0.00096561,0.00096561,0.00096561
19,573.66,0.97324,1.26801,1.19543,0.58878,0.5338,0.50022,0.39402,1.21527,1.89938,1.38356,0.000924352,0.000924352,0.000924352
20,591.873,0.97415,1.26592,1.1865,0.55724,0.42728,0.43689,0.34632,1.2521,2.07313,1.39608,0.000883093,0.000883093,0.000883093
21,609.374,0.96895,1.23733,1.18578,0.5536,0.53215,0.5056,0.40506,1.17082,1.8294,1.33122,0.000841835,0.000841835,0.000841835
22,626.894,0.95923,1.23,1.17709,0.62679,0.47103,0.48266,0.37315,1.25963,1.92837,1.39769,0.000800577,0.000800577,0.000800577
23,644.678,0.96529,1.19772,1.17962,0.62171,0.48708,0.5123,0.40432,1.18037,1.79534,1.33266,0.000759318,0.000759318,0.000759318
24,662.53,0.95308,1.17232,1.17707,0.51075,0.48008,0.45878,0.36914,1.22476,2.08398,1.37415,0.00071806,0.00071806,0.00071806
25,680.581,0.92744,1.15624,1.15675,0.60062,0.51893,0.51379,0.40615,1.1686,1.80549,1.33961,0.000676802,0.000676802,0.000676802
26,698.613,0.9375,1.16865,1.15958,0.57956,0.50241,0.50244,0.39707,1.16395,1.90705,1.35714,0.000635544,0.000635544,0.000635544
27,716.786,0.91987,1.13673,1.14866,0.62086,0.46443,0.48919,0.3835,1.20126,1.90701,1.35215,0.000594286,0.000594286,0.000594286
28,734.993,0.90845,1.10605,1.14289,0.60339,0.52906,0.52667,0.41162,1.11464,1.79322,1.30314,0.000553027,0.000553027,0.000553027
29,753.881,0.89106,1.08803,1.13303,0.58806,0.52066,0.50204,0.39127,1.1669,1.82943,1.34481,0.000511769,0.000511769,0.000511769
30,772.9,0.89308,1.0772,1.13128,0.65489,0.53376,0.51535,0.41247,1.13123,1.81616,1.32536,0.000470511,0.000470511,0.000470511
31,827.798,0.95112,1.20809,1.17269,0.632,0.45359,0.48146,0.38922,1.13889,1.89089,1.32585,0.000429253,0.000429253,0.000429253
32,846.232,0.91193,1.11487,1.14517,0.63288,0.46492,0.4798,0.37831,1.14368,1.9348,1.32661,0.000387994,0.000387994,0.000387994
33,864.086,0.89605,1.07267,1.13677,0.65042,0.43353,0.4635,0.37598,1.16806,2.02129,1.33447,0.000346736,0.000346736,0.000346736
34,882.223,0.88313,1.03883,1.12564,0.58986,0.44123,0.46633,0.37735,1.18499,2.04335,1.33101,0.000305478,0.000305478,0.000305478
35,901.073,0.86625,1.00821,1.11667,0.61191,0.48881,0.50222,0.39292,1.19307,1.8808,1.34324,0.00026422,0.00026422,0.00026422
36,919.735,0.85869,0.99576,1.11476,0.57199,0.48873,0.48675,0.39083,1.17543,1.96088,1.33421,0.000222961,0.000222961,0.000222961
37,938.474,0.84138,0.96784,1.10624,0.63023,0.49124,0.49751,0.40472,1.12667,1.94057,1.31179,0.000181703,0.000181703,0.000181703
38,957.263,0.82238,0.91148,1.07845,0.62082,0.49297,0.49467,0.40399,1.14226,1.93798,1.31548,0.000140445,0.000140445,0.000140445
39,976.199,0.8135,0.90883,1.07978,0.66927,0.46467,0.49176,0.40444,1.11651,1.98253,1.29786,9.91865e-05,9.91865e-05,9.91865e-05
40,995.04,0.82364,0.91506,1.08935,0.61269,0.50414,0.50038,0.4072,1.13301,1.93304,1.31816,5.79283e-05,5.79283e-05,5.79283e-05
