epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8235,1.3102,3.14549,2.56054,1.40013,0.86508,0.33358,0.40722,0.27148,0.86409,0.33373,0.37557,0.26182,1.42226,4.78913,2.46603,1.58666,0.000547614,0.000547614,0.000547614
2,59.0325,1.27904,2.81839,1.92402,1.38172,0.53111,0.27962,0.32436,0.16939,0.37525,0.29478,0.31107,0.17833,1.74449,5.94453,2.55153,2.07362,0.00107597,0.00107597,0.00107597
3,84.0484,1.32823,2.77527,1.86472,1.41322,0.36943,0.36682,0.31447,0.1547,0.34754,0.33153,0.26057,0.11196,1.8152,5.02565,3.48789,1.94116,0.00157683,0.00157683,0.00157683
4,108.975,1.30351,2.743,1.78372,1.39199,0.69711,0.32638,0.39089,0.25281,0.69892,0.32622,0.36975,0.23165,1.67247,4.97586,2.56451,1.73753,0.00154323,0.00154323,0.00154323
5,134.117,1.26599,2.70726,1.73885,1.375,0.47612,0.43999,0.43252,0.20277,0.47356,0.43205,0.41715,0.21931,1.60292,4.16632,2.59878,1.754,0.00150197,0.00150197,0.00150197
6,159.505,1.22479,2.65775,1.65511,1.3431,0.48618,0.49095,0.42443,0.28625,0.47862,0.48403,0.40808,0.27779,1.58264,4.0079,2.36385,1.6856,0.00146071,0.00146071,0.00146071
7,185.084,1.19595,2.61218,1.61571,1.32415,0.51544,0.48922,0.44844,0.27092,0.55951,0.4407,0.43006,0.2858,1.58433,3.70485,2.09954,1.65262,0.00141945,0.00141945,0.00141945
8,211.147,1.18472,2.53524,1.59145,1.3162,0.49823,0.38736,0.391,0.21404,0.43275,0.42336,0.39052,0.24141,1.62688,3.95106,2.54116,1.6485,0.00137819,0.00137819,0.00137819
9,236.763,1.16385,2.54792,1.54504,1.30549,0.52041,0.47855,0.45013,0.29272,0.5379,0.44403,0.42013,0.26513,1.44487,3.75657,2.05274,1.57432,0.00133693,0.00133693,0.00133693
10,262.167,1.12979,2.47781,1.5083,1.28443,0.60218,0.50636,0.48868,0.36175,0.60023,0.47497,0.45669,0.34532,1.3886,3.77905,2.0026,1.51482,0.00129568,0.00129568,0.00129568
11,287.446,1.12304,2.45163,1.47149,1.26734,0.4782,0.45116,0.45594,0.31513,0.50887,0.43645,0.4315,0.31241,1.32947,3.64903,1.98235,1.46458,0.00125442,0.00125442,0.00125442
12,312.323,1.10273,2.40955,1.45952,1.26422,0.52099,0.49857,0.47362,0.34025,0.52025,0.45314,0.44994,0.32385,1.3801,3.8094,1.99226,1.47644,0.00121316,0.00121316,0.00121316
13,337.026,1.08912,2.37044,1.40296,1.24703,0.49479,0.43258,0.44752,0.33631,0.48874,0.42912,0.43429,0.32931,1.3697,3.69538,2.09306,1.45462,0.0011719,0.0011719,0.0011719
14,362.089,1.06335,2.31399,1.37668,1.22876,0.5881,0.52836,0.51003,0.3872,0.59269,0.50327,0.47992,0.36881,1.25752,3.61534,1.86654,1.40321,0.00113064,0.00113064,0.00113064
15,386.599,1.04805,2.30706,1.34732,1.22948,0.5386,0.47135,0.46533,0.33532,0.54451,0.47646,0.45153,0.33084,1.28116,3.83315,2.03423,1.4104,0.00108938,0.00108938,0.00108938
16,412.063,1.05574,2.31559,1.36678,1.22678,0.56672,0.53952,0.50761,0.37491,0.5687,0.50249,0.47905,0.35047,1.31264,3.74564,1.87953,1.4356,0.00104813,0.00104813,0.00104813
17,437.125,1.02896,2.25721,1.33545,1.20562,0.58669,0.49932,0.48738,0.35164,0.58995,0.469,0.45525,0.33765,1.30864,3.88242,1.97427,1.40929,0.00100687,0.00100687,0.00100687
18,461.99,1.01967,2.2346,1.30962,1.20739,0.59995,0.46798,0.46997,0.35221,0.6074,0.46027,0.45185,0.33341,1.2997,3.86705,2.00215,1.44641,0.00096561,0.00096561,0.00096561
19,486.989,0.98835,2.1798,1.26093,1.18528,0.58598,0.48935,0.49358,0.37977,0.59417,0.45819,0.46786,0.35102,1.27872,3.70591,1.97671,1.4029,0.000924352,0.000924352,0.000924352
20,512.149,0.99213,2.16955,1.26394,1.17886,0.51423,0.47618,0.47273,0.3721,0.53533,0.45924,0.45255,0.3501,1.25272,3.89794,1.93761,1.3804,0.000883093,0.000883093,0.000883093
21,537.281,0.98966,2.15266,1.24068,1.1813,0.57695,0.53615,0.50396,0.40805,0.56006,0.5188,0.47974,0.36431,1.20385,3.96846,1.84801,1.35988,0.000841835,0.000841835,0.000841835
22,562.337,0.97833,2.14351,1.23094,1.17394,0.61925,0.51209,0.52135,0.39349,0.64997,0.48316,0.49921,0.36471,1.26017,3.89505,1.90277,1.40084,0.000800577,0.000800577,0.000800577
23,587.593,0.97229,2.11799,1.2041,1.17376,0.57935,0.49635,0.48251,0.37537,0.56963,0.49281,0.46924,0.36149,1.23764,3.63457,1.89172,1.38274,0.000759318,0.000759318,0.000759318
24,612.502,0.9631,2.1038,1.1846,1.16683,0.58322,0.46435,0.47462,0.37129,0.5996,0.4634,0.46405,0.34739,1.23028,3.80241,2.01475,1.37219,0.00071806,0.00071806,0.00071806
25,637.934,0.93917,2.04596,1.16522,1.1515,0.62179,0.47308,0.48479,0.38792,0.61329,0.46529,0.46796,0.35578,1.21945,3.71856,1.96692,1.3348,0.000676802,0.000676802,0.000676802
26,663.662,0.95632,2.03637,1.17819,1.15407,0.63745,0.47822,0.48854,0.3697,0.61095,0.45552,0.45418,0.33642,1.22301,3.91922,1.95302,1.35524,0.000635544,0.000635544,0.000635544
27,688.924,0.93283,2.01303,1.13985,1.14055,0.67243,0.48354,0.53438,0.41277,0.64944,0.47229,0.49871,0.37313,1.22316,3.85421,1.78853,1.3522,0.000594286,0.000594286,0.000594286
28,714.679,0.91585,1.98961,1.10346,1.13597,0.63865,0.52239,0.51893,0.41201,0.61443,0.50249,0.48725,0.37012,1.14878,3.62535,1.7664,1.31515,0.000553027,0.000553027,0.000553027
29,740.232,0.90908,1.9794,1.09654,1.12804,0.58254,0.45051,0.45761,0.37553,0.57915,0.44877,0.4473,0.35214,1.17849,3.7616,2.12843,1.33334,0.000511769,0.000511769,0.000511769
30,766.128,0.91002,1.92512,1.07834,1.12885,0.64568,0.53029,0.53415,0.41326,0.62952,0.50517,0.49952,0.37287,1.13911,3.76576,1.79572,1.31072,0.000470511,0.000470511,0.000470511
31,829.796,0.96019,1.94363,1.21556,1.16745,0.62267,0.46883,0.48519,0.3703,0.63296,0.46789,0.46525,0.34559,1.17386,3.8854,1.90892,1.31725,0.000429253,0.000429253,0.000429253
32,856.852,0.92742,1.85143,1.12462,1.13554,0.6016,0.4585,0.4854,0.37528,0.60525,0.44408,0.45887,0.34358,1.15885,3.79867,1.8778,1.30361,0.000387994,0.000387994,0.000387994
33,883.23,0.91744,1.85367,1.0885,1.13563,0.63002,0.48692,0.49347,0.38252,0.63611,0.46072,0.46748,0.34703,1.18285,4.04578,1.94928,1.32955,0.000346736,0.000346736,0.000346736
34,908.08,0.90561,1.7794,1.05847,1.12273,0.66013,0.44218,0.48075,0.38612,0.64322,0.43977,0.4626,0.35207,1.16576,4.19789,1.90689,1.30404,0.000305478,0.000305478,0.000305478
35,933.202,0.88907,1.72948,1.02806,1.12085,0.58204,0.5113,0.50438,0.39814,0.57532,0.50389,0.48598,0.36961,1.13442,4.05515,1.82644,1.28355,0.00026422,0.00026422,0.00026422
36,957.814,0.87707,1.73876,0.99731,1.10647,0.65542,0.46455,0.50427,0.39652,0.65617,0.45059,0.4815,0.36994,1.1566,4.13766,1.89653,1.30481,0.000222961,0.000222961,0.000222961
37,982.986,0.86969,1.68472,0.97781,1.10557,0.65144,0.48073,0.49361,0.39452,0.64326,0.46869,0.47199,0.36934,1.15365,4.04072,1.97007,1.30023,0.000181703,0.000181703,0.000181703
38,1008.42,0.84979,1.65027,0.93519,1.07994,0.62597,0.49724,0.50691,0.40325,0.61955,0.48605,0.48319,0.37249,1.16403,4.0392,1.89338,1.29314,0.000140445,0.000140445,0.000140445
39,1033.84,0.83704,1.63461,0.92637,1.07485,0.65182,0.47086,0.49748,0.39874,0.6511,0.46191,0.47752,0.37341,1.14448,4.07215,1.89535,1.28222,9.91865e-05,9.91865e-05,9.91865e-05
40,1059.45,0.84254,1.66602,0.92342,1.08506,0.6516,0.46883,0.49985,0.39982,0.62747,0.46624,0.47847,0.36931,1.14256,4.21831,1.8681,1.28715,5.79283e-05,5.79283e-05,5.79283e-05
